1,1273,1921
2,1195,1701
3,1155,1811
4,867,1811
5,1196,1578
6,496,1841
7,1194,1386
8,1180,665
9,1173,431
10,1206,580
11,1514,1725
12,1574,1684
13,1670,1690
14,1913,1698
15,1950,1720
16,2096,1718
17,2282,1720
18,2304,1750
19,2418,1750
20,2248,1866
21,2470,1718
22,2588,1729
23,2660,1665
24,2084,926
25,2088,1133
26,2028,1095
27,1886,1094
28,2144,1094
29,2370,1094
30,2596,1094
31,2675,1148
32,2535,1052
33,2530,902
34,2560,845
35,2594,900
36,2682,885
37,2718,812
38,2714,640
39,1197,1755
40,1195,1579
41,879,1811
42,632,1812
43,1199,1522
44,526,1856
45,1187,1163
46,1173,451
47,1162,283
48,1329,573
49,1899,1725
50,1574,1619
51,1668,1597
52,1920,1396
53,2080,1720
54,2256,1718
55,2242,1720
56,2304,1886
57,2424,1886
58,2162,1866
59,2564,1718
60,2660,1695
61,2658,1521
62,2084,1096
63,2086,1263
64,1912,1095
65,1606,1088
66,2330,1094
67,2566,1094
68,2672,1094
69,2675,1294
70,2535,930
71,2532,838
72,2592,882
73,2684,900
74,2684,838
75,2712,668
76,2710,556
