1,117,449
2,147,296
3,152,446
4,428,281
5,434,366
6,490,1851
7,736,268
8,745,348
9,748,392
10,974,1811
11,974,1857
12,1040,877
13,1057,1544
14,1168,330
15,1171,251
16,1188,870
17,1188,1542
18,1193,1716
19,1195,1808
20,1461,1712
21,1461,1996
22,1694,992
23,1781,1710
24,1816,992
25,2019,1787
26,2085,1787
27,2390,1817
28,2415,1817
29,2415,1846
30,2476,1817
31,710,1855
32,1211,1720
33,1181,694
34,1179,622
35,1179,505
36,1172,370
37,622,272
38,564,277
39,505,275
40,454,277
41,386,279
42,319,284
43,237,289
44,969,335
45,1051,1202
46,1053,1384
47,1048,1027
