4568.1,130,387
4568.2,127,340
4563,169,328
4567 Entrance 1,135,274
4567 Entrance 2,202,267
4565A,236,266
4565,316,262
4564,388,261
4559,455,256
4558,510,252
4557,566,252
4556,623,251
4555,716,228
455A,716,228
4562,408,366
4561,467,366
4560,738,307
4553,768,287
4550,1024,400
4549,1126,351
4548,1123,251
4545,1194,375
4544,1197,504
4543,1158,620
4542,1198,631
4541,1157,691
4540.1,1201,690
4540,1203,868
4512,1062,845
4511 Entrance 1,1163,1188
4511 Entrance 2,1191,903
4510 Entrance 1,1188,1508
4510 Entrance 2,1163,1221
4506 - Pods A to G,679,1777
4506 - Pods H to L,679,1931
4505,799,1705
4504,830,1834
4503,920,1876
4500,987,1789
CES Staff (CCT),947,1878
CES Staff (ST),1460,1729
4501,1205,1828
4501.1,1474,1802
4501.2,1474,1862
4501.3,1474,1922
4501.4,1474,1996
4005,2097,1787
4001,2506,1824
4002,2415,1801
4003,2383,1846
4003A,2415,1861
4004,2375,1816
4006,1739,1003
4006A,1683,992
4006C,1825,992
4006D,1787,1003
